counterstrike global offensive,88,fps,shooter,multiplayer,competitive,action,team based,esports,tactical,first person,pvp,online co op,co op,strategy,military,war,difficult,trading,realistic,fast paced,moddable 
pubg battlegrounds,57,survival,shooter,battle royale,multiplayer,fps,pvp,third person shooter,action,online co op,tactical,co op,first person,strategy,early access,competitive,third person,team based,difficult,simulation,stealth 
dota 2,82,free to play,moba,multiplayer,strategy,esports,team based,competitive,action,online co op,pvp,difficult,co op,rts,tower defense,rpg,fantasy,character customization,replay value,action rpg,simulation 
grand theft auto v,89,85 ,open world,action,multiplayer,crime,automobile sim,third person,first person,shooter,mature,adventure,singleplayer,third person shooter,racing,co op,atmospheric,sandbox,funny,great soundtrack,comedy,moddable 
tom clancys rainbow sixâ siege,86,fps,pvp,esports,shooter,multiplayer,tactical,competitive,online co op,action,hero shooter,team based,military,war,realistic,destruction,strategy,co op,first person,difficult,3d 
terraria,97,open world survival craft,sandbox,survival,2d,multiplayer,adventure,pixel graphics,crafting,building,exploration,co op,open world,online co op,indie,action,rpg,singleplayer,replay value,platformer,atmospheric 
garrys mod,96,sandbox,multiplayer,funny,moddable,building,mod,comedy,co op,first person,physics,simulation,online co op,fps,singleplayer,action,animation  modeling,shooter,indie,massively multiplayer,adventure 
rust,87,survival,crafting,multiplayer,open world,open world survival craft,building,pvp,sandbox,adventure,first person,action,fps,nudity,co op,shooter,online co op,indie,early access,post apocalyptic,simulation 
the witcherâ 3 wild hunt,96,open world,rpg,story rich,atmospheric,mature,fantasy,adventure,singleplayer,nudity,choices matter,great soundtrack,third person,medieval,action,multiple endings,action rpg,magic,dark fantasy,dark,sandbox 
among us,92,multiplayer,online co op,social deduction,space,survival,2d,funny,psychological,co op,party game,cartoony,local multiplayer,casual,action,colorful,pvp,sci fi,aliens,minigames,top down 
left 4 dead 2,97,zombies,co op,fps,multiplayer,shooter,online co op,action,survival,horror,first person,gore,team based,moddable,survival horror,post apocalyptic,singleplayer,adventure,local co op,replay value,tactical 
destiny 2,82,free to play,open world,fps,mmorpg,looter shooter,co op,pvp,pve,multiplayer,shooter,massively multiplayer,first person,loot,sci fi,action,lore rich,adventure,space,competitive,atmospheric 
cyberpunk 2077,80,cyberpunk,open world,nudity,rpg,singleplayer,sci fi,futuristic,fps,mature,story rich,first person,atmospheric,exploration,action,violent,great soundtrack,action rpg,adventure,character customization,immersive sim 
